sample-id	PC1	PC2	species
TBC1	0.114552647094504	0.0330677906999578	D. nigrospiracula
TBC12	-0.295948857011848	-0.123520292629275	D. mojavensis
TBC13	0.173805307192757	-0.0298851639492838	D. mojavensis
TBC14	-0.0908877566735491	-0.360818038095557	D. mettleri
TBC15	0.23449786769092	0.101396930642253	D. mettleri
TBC16	-0.0305878862977679	-0.227628464752763	D. arizonae
TBC17	0.173724698615181	0.0080096667996745	D. arizonae
TBC19	0.153191796513759	0.121259324939953	D. melanogaster
TBC2	-0.442306252558391	-0.0464980076327002	D. nigrospiracula
TBC20	0.23999836448745	-0.0095318081528805	D. nigrospiracula
TBC21	0.215814182399569	-3.20639728526955E-05	D. nigrospiracula
TBC22	0.16311873802782	-0.00637287881571625	D. mettleri
TBC23	-0.410522602424568	0.185750431908852	D. mettleri
TBC24	0.194899235933428	0.0598060533064178	D. arizonae
TBC25	0.0447614557297819	-0.142219318463564	D. arizonae
TBC26	-0.132694923121651	-0.393716839261738	D. nigrospiracula
TBC27	0.198098868684693	0.0244309343364024	D. nigrospiracula
TBC28	-0.0859722278194792	-0.272843928041652	D. nigrospiracula
TBC29	0.167125436485502	-0.0360726825169005	D. arizonae
TBC3	-0.300502675066038	0.196781297328229	D. mojavensis
TBC30	0.147719360602107	-0.0111193359486887	D. mojavensis
TBC31	0.0999132877912241	0.212182388678745	D. arizonae
TBC32	0.205414215977139	0.049710042190349	D. arizonae
TBC33	0.254670145687051	0.0679133539742798	D. arizonae
TBC34	0.154799936826783	0.0596426889285462	D. arizonae
TBC35	-0.413134609722183	0.227793822843991	D. melanogaster
TBC36	0.158647712179246	0.152218036513741	D. melanogaster
TBC37	0.153404849617592	0.0340927833405384	D. melanogaster
TBC38	-0.180180081996574	-0.334831348172492	D. melanogaster
TBC4	-0.436374861622964	0.0161895945449825	D. mojavensis
TBC5	-0.385494026404752	0.196645580416968	D. mettleri
TBC6	-0.27889505315498	0.209504784371106	D. mettleri
TBC8	0.235343706338241	0.0386946646410783	D. arizonae
